number,answer,question
200,134,依職業安全衛生設施規則規定，對於運轉中之化學設備或其附屬設備，為 防止因爆炸、火災、洩漏等造成勞工之危害，下列敘述哪些為正確？ ①確 定冷卻、加熱、攪拌及壓縮等裝置之正常操作 ②確定將閥或旋塞雙重關閉 或設置盲板 ③保持安全閥、緊急遮斷裝置、自動警報裝置或其他安全裝置 於異常狀態時之有效運轉 ④保持溫度計、壓力計或其他計測裝置於正常操 作功能 。
201,134,對於混凝土澆置作業，下列哪些為營造安全衛生設施標準之規定？ ①禁止 勞工乘坐於混凝土澆置桶上 ②不得以起重機具或索道吊運混凝土桶 ③實 施混凝土澆置作業，應指定安全出入路口 ④澆置期間應注意避免過大之振 動 。
202,14,事業單位委外辦理勞工體格、健康檢查時，下列應注意事項，何者錯誤？  ①注意指定醫療機構之品質並應每年更換，俾能相互比較醫療機構之品質  ②要求醫療機構赴事業單位實施檢查之日，攜帶經衛生主管機關核准之公 文及醫事人員執業執照與身分證 ③檢查項目以勞工健康保護規則所訂項 目為限，但要求增加之項目由雇主負擔全部費用且經勞工同意者不在此限  ④健康檢查手冊最好由事業單位統一保管 。
203,134,下列有關健康檢查結果評估及處理之事項，何者正確？ ①每次健檢後進行 整體性之評估 ②對健康檢查發現健康異常之勞工，由部門主管判定是否與 職業原因有關 ③依照醫師之建議執行分配勞工工作 ④將特殊健康檢查報 告書及第三級管理勞工資料陳報政府有關單位 。
204,24,下列有關特殊健康檢查的描述，何者正確？ ①檢查紀錄至少保存十年 ② 從事特別危害健康作業勞工，應於變更其作業時實施特殊健康檢查 ③將每 位勞工健康檢查之詳細資料公佈在顯明而易見之場所 ④從事鉛中毒預防 規則所稱鉛作業的勞工應實施特殊健康檢查 。
205,124,6S 現場管理守則是事業單位經常使用於塑造安全文化的管理方法之一，哪 些方法屬於 6S 範疇？ ①整理 ②整頓 ③教育 ④修養 。
206,234,下列何者屬物理性危害？ ①有機溶劑中毒 ②振動 ③異常氣壓 ④噪音 。
207,134,下列何者為高溫或低溫所造成之可能危害？ ①中暑 ②神經衰弱 ③熱痙攣  ④凍傷 。
208,134,下列有關振動危害之敘述何者正確？ ①振動能與人體不同之部位產生共 振現象而造成對人體健康影響 ②暈車暈船常為高頻振動所引起 ③長時間 操作破碎機、鏈鋸等振動手工具會對手部神經及血管造成傷害 ④當振動由 手掌傳至手臂時會導致臂部肌肉、骨骼、神經之健康影響 。
209,134,下列何者為判定職業病必須要滿足之條件？ ①工作場所中有害因子確實 存在 ②工作場所中有害物濃度經確認曾超過法定容許濃度標準 ③必須曾 暴露於存在有害因子之環境 ④發病期間、症狀及有害因子之暴露期間有時 序之相關 。
210,234,下列有關採光照明之影響何者正確？ ①照明不當不致造成眼睛慢性傷害  ②良好之採光照明條件可增進工作效率、減少失誤率、亦可降低事故發生 機會 ③採光照明問題在品質管制及工業安全衛生 2 方面，均具有同等之重 要性 ④照明不當可能導致精神疲勞 。
211,134,下列有關游離輻射之敘述何者正確？ ①能使物質產生游離現象之輻射能 稱為游離輻射 ②在工業上常使用者為α、β、γ、Ｘ射線及中子射線等， 多用於破壞性檢測 ③游離輻射會對人體造血器官造成危害 ④長期低劑量 游離輻射暴露可能造成細 胞染色體突變或致癌 。
212,123,下列有關非游離輻射之敘述何者正確？ ①紅外線常由灼熱物體產生，眼睛 經常直視紅熱物體易導致白內障 ②紫外線會破壞眼角膜，引起角膜炎 ③ 微波對眼睛可造成白內障 ④銲接作業為常暴露雷射之行業 。
213,123,下列有關異常氣壓危害之敘述何者正確？ ①異常氣壓危害常見於潛水作 業及潛盾工法之施工作業 ②異常氣壓危害係因外界壓力之急遽變化使體 內產生氣泡，進而造成神經壓迫、血栓、骨壞死等症狀 ③依照減壓表實施 減壓可避免異壓性骨壞死等減壓症 ④高山病急性症狀是氮氣分壓降低所 造成 。
214,124,下列有關物質性質之敘述何者正確？ ①氮氣、氫氣、甲烷氣體有窒息性 ② 有機溶劑、重金屬、農藥等常會影響中樞神經或週邊神經而造成各種神經 症狀 ③厭惡性粉塵可導致塵肺症 ④甲醇會因產生代謝物甲醛及甲酸而導 致失明或致死 。
215,123,下列有關生物偵測之敘述何者正確？ ①生物偵測是透過測量體內劑量，來 評估個人有害物之暴露程度 ②生物偵測可以是化學有害物本身或其代謝 物在生物檢體中所呈現之量，也可以是化學物質對某標的器官產生可逆性 生化改變之程度 ③生物偵測的主要功能是輔助作業環境測定、測試個人防 護具之效率 ④美、日、法、德等國家已針對所有列管有害物全面要求實施 生物偵測 。
216,134,下列有關防護具之敘述何者正確？ ①呼吸防護具一般使用於臨時性作 業、緊急避難、無法裝設通風系統之場所或限於技術而使用通風系統效果 有限之場所 ②一般例常性之工作可長期重複使用呼吸防護具 ③不恰當之 防護具無法防範危害因子之穿透 ④防護具一般而言應視為最後之選擇 。
217,123,下列有關健康管理之敘述何者正確？ ①健康管理係以保持或增進健康為 目的 ②健康管理一般之主要手段為體格檢查及健康檢查 ③職前之體格檢 查可作為選工之參考，可篩選體質是否宜從事存在危害因子場所之作業 ④ 定期之體格檢查有助於早 期發現是否已受到危害因子之影響 。
218,234,某麵粉廠作業中，其麩皮槽修補工程交付承攬施工，原事業單位勞工負責 清理麩皮，因電焊火花引起塵爆致承攬人所僱勞工死傷 2 人。下列敘述何 者正確？ ①該修補作業非屬職業安全衛生法所稱之「共同作業」 ②原事 業單位應為承攬人所僱勞工之死傷負連帶補償及賠償責任 ③承攬人雖具 電焊專長，原事業單位仍應告知危害因素 ④原事業單位及承攬人間應設置 協議組織 。
219,124,下列有關操作氧氣測定器之敘述何者正確？ ①測定前，應於距測定點較 近，且空氣新鮮處校正 ②測定時，應俟指示值顯示穩定後讀取讀值 ③測 定後，不可立即置於空氣新鮮處，以免讀值不正確 ④測定各點所獲讀值均 在 18 ％以上，表示作業場所無缺氧環境 。
220,134,下列有關檢知管操作之敘述何者正確？ ①應配合使用相同廠牌之檢知 器，以免誤差太大 ②檢知管只要保管妥善，沒有時效的問題 ③檢知管應 避免高溫或日光照射 ④應依現場實際濃度選用測定範圍之檢知管 。
221,123,在有爆炸之虞場 所測定絕緣電阻時，應預防火花之發生，其發生原因與下 列何者有關？ ①連接線與未完全放電之機器碰撞 ②試驗中絕緣損壞處產 生電弧 ③測驗完畢時之電容放電 ④連接線之完全放電 。
222,123,下列何者為電氣接地之目的？ ①防止因絕緣不良感電 ②避免高低壓混觸 高壓經接地回路而危害人畜 ③避雷 ④在配電線接地故障時使繼電器不動 作 。
223,123,控制器的誤觸往往是造成事故的原因之一，下列何者為一般所建議的防止 控制器誤觸的方法？ ①遮蔽控制器 ②增加控制器之阻力 ③改變控制之程 序 ④增大控制器之體積 。
224,124,下列何者為靜電危害防止對策？ ①接地 ②使用導電性材料 ③乾燥 ④游 離化 。
225,134,下列何者為靜電產生的可能機制？ ①絕緣體的相互摩擦 ②電鍍 ③物體的 接觸與分離 ④粒子的衝撞 。
226,124,下列何者屬電氣活線作業及活線近接作業時，所必須使用之安全防護具或 工具？ ①電氣用安全帽 ②電氣用絕緣手套 ③靜電疏導裝置 ④電氣用絕 緣長靴 。
227,134,下列有關可燃性氣體或其混合蒸氣場所之電氣防爆對策，何者正確？ ①盡 量避免使用電氣機具，而以空氣驅動之機械取代電動機具 ②使用行動電話 是不影響安全的 ③電氣機具之金屬外箱、機架、保護罩、導線管應確實接 地 ④應用防爆型電風扇 。
228,123,下列何者屬反撥預防裝置？ ①反撥防止爪 ②反撥防止滾輪 ③撐縫片 ④ 護罩 。
229,14,在進入甲醇儲槽清洗時，應至少測量下列那兩種氣體濃度？ ①氧氣 ②氮 氣 ③二氧化碳 ④可燃性氣體 。
230,23,安全資料表中，純物質之成分辨識資料，應涵蓋下列何項？ ①中文名稱 ② 同義名稱 ③化學文摘社登錄號碼 ④容許濃度 。
231,13,防止酸、鹼、化學品傷害皮膚之職業衛生防護手套，下列何者為較適合材 質？ ①天然橡膠 ②皮革 ③合成纖維 ④棉布 。
232,14,下列何者不屬於工廠中的輔助搬運設施？ ①切割機 ②拖板車 ③台車 ④ 自動包裝機 。
233,23,下列何者屬 「本質安全」 設計？ ①使用防護具 ②阻卻 ③隔離 ④安全程序 。
234,123,下列何者可能引發呼吸系統職業病？ ①游離二氧化矽 ②石綿 ③粉塵 ④ 鉛 。
235,12,下列何者是勞工於同平面跌倒之要因？ ①地板上有滑溜物 ②人的鞋底滑  ③樓板開口 ④地板有適當照明 。
236,13,下列何者為損失控制八大項之一？ ①安全檢查 ②安全政策 ③安全觀察  ④安全口號 。
237,13,實務上，製程安全管理不包括下列何者？ ①勞工身心健康促進 ②教育訓 練 ③勞工健康保護 ④緊急應變 。
238,12,安全資料表應包含下列何種資訊？ ①容許暴露濃度 ②腐蝕性資料 ③成本 資料 ④化學製程的描述 。
239,134,下列何者不屬於沸騰液體膨脹蒸氣爆炸 ( BLEVE) ？ ①天然氣爆炸 ②液化 石油氣鋼瓶爆炸 ③潤滑油槽爆炸 ④柴油槽爆炸 。
240,34,下列何者屬應用弱連結之安全設計？ ①警告標示 ②鍋爐水位計 ③自動撒 水滅火系統 ④化工儲槽之破裂盤 。
241,34,事件樹分析較適用於製程的那一個階段？ ①包裝 ②基本設計 ③細部設計  ④試車 。
242,12,財物損失事故費用涵蓋下列何者？ ①機械費用 ②材料費用 ③看護費用  ④醫療費用 。
243,13,下列何者非化學暴露指數 (CEI ) 所包括的外洩後果因子？ ①立即毒性 ②工 廠配置 ③製程參數 ④物質庫存量 。
244,34,災害類型分類項目中「與有害物等接觸」包括下列何種？ ①機械捲夾 ② 受帶電體電擊 ③一氧化碳中毒 ④缺氧 。
245,14,下列何者符布林代數化簡規則？ ①ABAABB ＝AB ②AB ＋ABC ＝ABC ③ F＋FG＋FGH ＝FH ④FFFGH ＝FGH 。
246,24,下列哪些電氣裝置為避免電路過載所產生之危害？ ①設備接地 ②保險絲  ③漏電斷路器 ④無熔絲開關 。
247,124,請選出適用於衝剪機械安全防護之安全裝置 ①光電式感應開關 ②拉回式 裝置 ③撐縫片 ④雙手操作裝置 。
248,24,為防止壓力容器超壓而發生危害，可選那些安全設備防止壓力容器超壓？  ①差壓式流量計 ②破裂盤 ③自動給水裝置 ④安全閥 。
249,134,雇主對於室內工作場所，應依下列規定設置足夠勞工使用之通道 ①應有適 應其用途之寬度，其主要人行道不得小於 1 公尺 ②各機械間或其他設備間 通道不得小於 60 公分 ③自路面起算 2 公尺高度之範圍內，不得有障礙物， 但因工作之必要，經採防護措施者，不在此限 ④主要人行道及有關安全 門、安全梯應有明顯標示 。
250,234,依職業安全衛生設施規則規定，雇主不得以下列何種情況之鋼索作為起重 升降機具之吊掛用具 ①鋼索一撚間有百分之 5 以上素線截斷者 ②直徑減 少達公稱直徑百分之 7 以上者 ③有顯著變形或腐蝕者 ④已扭結者 。
251,234,事業單位向勞動檢查機構申請審查甲類危險性工作場所時，應檢附之資料 有哪些? ①施工計畫書 ②製程安全評估報告書 ③緊急應變計畫 ④安全衛 生管理基本資料 。
252,13,雇主應於機器人顯明易見之位置標示哪些事項？ ①製造者名稱 ②機器人 外觀尺寸 ③型式 ④最大可承受外力或力矩 。
253,34,下列敘述何者正確？ ①勞工因工作傷害而死亡，其損失日數為 600 日 ② 一隻眼睛失能稱為永久全失能 ③在一次工作中損失一隻眼睛與一隻手 指，屬於永久全失能 ④可治好之骨骼、肌肉傷害不屬於永久全失能 。
254,24,某一工廠新設一座吊升荷重為 5 公噸之固定式起重機，下列哪些非屬其所 需之法定檢查？ ①型式檢查 ②熔接檢查 ③竣工檢查 ④使用檢查 。
255,124,下列何者為研磨機使用之正確敘述？ ①研磨機之使用不得超過規定之最 高使用圓周速度 ②研磨輪除側面使用外，不得使用側面進行研磨 ③磨輪 使用前無須作業前試運轉，僅需每週檢查 1 次即可 ④研磨輪更換時應先檢 驗是否有無裂痕 。
256,134,下列哪些為操作衝剪機械可能發生之危害？ ①感電 ②墜落 ③被切、割、 夾 ④被撞 。
257,34,下列何者為化學性危害因子？ ①局部振動 ②噪音 ③金屬燻煙 ④游離二 氧化矽 。
258,234,下列何者為意外事故原因分析之正確敘述？ ①意外事故之直接原因為個 人因素 ②意外事故之間接原因為不安全環境與不安全行為 ③不安全環境 與不安全行為須同時存在時，意外事故方可產生 ④不當管理為意外事故發 生之潛在原因 。
259,14,下列對職業安全衛生標示之形狀種類說明之敘述何者正確？ ①圓形用於 禁止 ②尖端向上之正三角形用於注意 ③尖端向下之正三角形用於警告 ④ 正方形或長方形用於一般說明或提示 。
260,234,職業安全衛生顧問機構之服務類別包括那些？ ①企業經營管理顧問服 務  ②勞工健康顧問服務 ③暴露評估技術顧問服務 ④工業通風技術顧問服 務 。
